,0.0_Slope,0.0_Intercept,0.0_R2,1.0_Slope,1.0_Intercept,1.0_R2,3.0_Slope,3.0_Intercept,3.0_R2,4.0_Slope,4.0_Intercept,4.0_R2,5.0_Slope,5.0_Intercept,5.0_R2,6.0_Slope,6.0_Intercept,6.0_R2,7.0_Slope,7.0_Intercept,7.0_R2,8.0_Slope,8.0_Intercept,8.0_R2,11.0_Slope,11.0_Intercept,11.0_R2,12.0_Slope,12.0_Intercept,12.0_R2,14.0_Slope,14.0_Intercept,14.0_R2,15.0_Slope,15.0_Intercept,15.0_R2,16.0_Slope,16.0_Intercept,16.0_R2,18.0_Slope,18.0_Intercept,18.0_R2,19.0_Slope,19.0_Intercept,19.0_R2
57.0346,0.028065494021394268,0.9025262775248463,0.9496588073370527,0.024055091759554843,0.8907654054167681,0.9111897774813444,0.02485416268394589,0.9165203592392056,0.9493423757639181,0.02599162561651597,0.8771964621018362,0.915787726230922,0.030370073379201647,1.158118155587501,0.591514504361,0.027254286061583834,0.8314200127491127,0.9920128576919602,0.025209765161960804,0.887401521957479,0.9395942433520856,0.023975764960878467,0.9167715978863911,0.9285025973954544,0.025927127248260504,0.8711031730075092,0.9667452605215151,0.02603679284575339,0.873608848909629,0.9764025836888632,0.027646600548523564,1.0096871505817433,0.9562278350512469,0.030392897027919318,0.919391263783935,0.985362716967586,0.022152113611405073,0.9183162483420636,0.8494059361456375,0.02537782428192954,0.9041207484136358,0.8385168694880407,0.024190182969985295,0.9893453624781795,0.90170201564919
58.0296,0.07680381248800498,10.666250728727842,0.9811684747058843,0.06614216009221789,11.131322528169205,0.9331299667623346,0.0668561323733475,10.988681550508499,0.949709222621562,0.07224162168570655,10.635955096450193,0.943009592313786,0.09312230893722775,10.245237469153585,0.41773201165901197,0.07150691353459486,11.120352174442425,0.9901558563129833,0.06519975580414732,11.154896300190071,0.9319993699614222,0.07069348052572845,10.693300013030337,0.9451947132603757,0.07117824339412197,10.570015600086691,0.9293942543278139,0.07392977183032255,10.976756955992236,0.9631825079043246,0.07860258635133723,10.932933193985532,0.9823142862284885,0.08221714721802763,10.462874214827233,0.9926081860665262,0.05138702337427182,11.909326156528257,0.9759711905726217,0.07618112422485358,11.218233389564707,0.9997462871442729,0.0742342034821249,10.37408913675992,0.9732095682087962
59.0139,0.006424246560654211,1.020919789898505,0.9181260725753182,0.008799823270353713,0.9275478505074919,0.7891329711589448,0.005015517229050667,1.0547169191774584,0.9361495154314674,0.006156185009802184,1.0353772974979156,0.9534031312328577,0.02131596974399725,0.540950516729087,0.808659968764226,0.004212806182215184,1.0239842744397445,0.9593927537518501,0.0059796189712872,0.9958597561061234,0.7685583500091101,0.0062453049743444395,1.030025719602734,0.9942987191032541,0.006383416798487224,1.0301552113048675,0.975438675481911,0.006323118574775718,1.0296113537127825,0.9540346209726083,0.00525669339046387,1.0010327827227188,0.7570218795261394,0.005566908411168134,1.0164429372734958,0.8599114125740601,0.004670277960863963,0.9449989125374249,0.7429879058475344,0.007168692555159112,0.9331763226492411,0.9062805036091577,0.00791315398200586,0.985028659046501,0.9888216292722256
67.0191,0.020749319404121582,1.4717457500476703,0.9548777591188515,0.02223361373756167,1.2064015395489638,0.8971064249701766,0.02444883808794252,1.1697921226348065,0.9588284624494094,0.020077068377708913,1.4059898907497577,0.8841068109077317,-0.028759421045991728,4.0939550551538515,0.6878127344157257,0.024249970602594022,1.1538495851731732,0.9415081160411846,0.02002923473897336,1.2947836857408548,0.9500982595430312,0.0222307310652301,1.257101718764662,0.9228480438201018,0.018793608952401904,1.442649238293866,0.8531407493521079,0.021867689299577598,1.2549350434438113,0.8864864901225735,0.022134234529717512,1.5413876542405465,0.8721429389129812,0.020626381231595558,1.600668419726916,0.8898981073927469,0.02387754198664244,1.1832868368040037,0.9714956804073523,0.023201263481244974,1.2207319354540818,0.9478839183280399,0.018798337100004125,1.4673642472899329,0.9576063625326598
71.0137,0.004155599331304898,0.3540423793532059,0.9354005266702092,0.004159248942127471,0.28539615970605087,0.6500843665793004,0.004205831937247584,0.31367514282821707,0.8286535435060176,0.004347494867912622,0.33667697341351877,0.7943608890155183,0.00606598777948021,0.19429012692483935,0.33730729362648726,0.0029688279728645067,0.359792750210443,0.9646161749505856,0.0035827997359297197,0.3523462747081175,0.6773511859247514,0.0029721461665726512,0.33895999952332695,0.5783031808390927,0.0066708329644824755,0.2964488327259518,0.9312796943054156,0.004685382008984374,0.33645977126725835,0.7826467523501373,0.004098421292947146,0.3447792872530149,0.927783235891676,0.0039509093360393715,0.3555441365034383,0.9748138101811109,0.0022992191368787244,0.32930976623731545,0.4126944579874814,0.0042549571427825325,0.2989210281800644,0.992791846777705,0.002870163711709775,0.33022635964101044,0.8562507354479184
71.0503,0.13055450947344616,7.68331545444835,0.952370572847863,0.12778035776116536,7.67510849662475,0.9542745682103794,0.13100518144332657,7.376297136068522,0.9900098772730357,0.14304371424531898,7.181474911455871,0.9663669149061476,0.15903240242754102,7.719897365930009,0.6763856998836396,0.11460497515626035,7.830247627419205,0.9259459576182162,0.12806030253044362,7.516343800077008,0.9770913530963724,0.1335333990864522,7.358334313114181,0.9653081752870124,0.1378771276167226,7.255313608799601,0.9806556235767401,0.12494527224605498,7.663701302581407,0.9725389016075311,0.12785769506195344,7.991927782438921,0.8681965935889389,0.1202337098429242,7.7797957161467926,0.9459403807844072,0.13245078253907905,7.770906386912113,0.9469453939046923,0.12250316118194716,7.4691347497642795,0.9555336883092899,0.12510872637046624,7.547042335888078,0.9631521333240828
72.0091,0.007648612837710056,1.0850656994939305,0.9412930392243493,0.006005865727741871,1.2194817878499993,0.7588669945542702,0.008288955181313685,1.1329065458297927,0.9010534320486598,0.00984009731058198,1.0046477684985773,0.971122290066376,0.0015395883565880535,1.0344496082015762,0.01185270978620312,0.0060419901666571565,1.2367510810861833,0.8482403741910174,0.005543860039142592,1.184351230000059,0.9655541605394139,0.006313520889119172,1.1291922032416482,0.9790939191577279,0.009014454474743923,1.0503048075592458,0.8892393383643197,0.008445071471337643,1.1159608957625013,0.960368163213878,0.009879179132551494,1.0632025812160355,0.9226286490921076,0.009031771513528852,1.0750789793175775,0.9499439243150417,0.005560305665228996,1.3123665176951327,0.8026732907641589,0.009342072902061386,1.144261172307038,0.8427484293879437,0.00713964970669845,1.1220061209218004,0.9753539735956513
72.017,-0.0037486050349946065,7.511794398069116,0.25101663641133487,-0.001315425948772149,7.463406194891695,0.010242202735009087,0.0021715013899978957,7.298237540873121,0.05431241371197604,-0.0033556610499851348,7.524010188646801,0.023592379008702036,0.009673272528223071,6.750731337338172,0.018125716777566248,-0.00974249736513285,7.824483165817628,0.2796693657234913,1.2957570073695337e-05,7.366219328638795,2.2653317889309577e-06,0.000385211644637658,7.243961681627213,0.002022956707024015,-0.009921793725715404,7.709910491414241,0.4207944981233359,0.002073852638446206,7.317678602387725,0.06724682666592496,-0.005993754761711269,7.790981632205124,0.527784869913067,-0.0057362710395467194,7.592266973190226,0.10776485129830404,-0.0023799250723852746,7.631077435156508,0.013151034369862757,-0.007564354761671805,7.601187654398131,0.5212837519111502,0.000743475531224919,7.162331087179182,0.001772440529561381
73.0294,0.04559833016121008,6.680604891658741,0.9156334194357649,0.05254539157229742,6.017751281317601,0.8655942605180542,0.05198772131012176,6.035913376629381,0.9529303541918012,0.05110153678643171,6.096275061096346,0.8768808533404111,0.02380865643397039,10.549940603879627,0.19979732229125324,0.04431343592081719,6.303074886491979,0.9587785691882226,0.05041352746466353,6.150836386107665,0.9796746457234823,0.04536120044836644,6.155022073321111,0.9352392637674694,0.04468292017415851,6.430711727733756,0.9251011999811255,0.045144891722744676,6.301165208078488,0.8485347184266119,0.048376444270598874,6.967489664381461,0.8857942561027299,0.036785106805172545,7.219360642980297,0.8741033775855744,0.05452015290841181,6.096820126683398,0.9389253003569643,0.05817401023327249,5.851475101210848,0.964966830968771,0.054052617178748735,6.295428561887103,0.9308480109790725
74.0246,0.11670346799658855,2.2833695775276706,0.9832644078790629,0.11542647798691849,2.1570672081572604,0.9824553023450138,0.11093049360352802,2.1563606017709747,0.9923581162570203,0.11252705242325314,2.3582948417973095,0.9861278688918723,0.19065212143640994,1.69451692479001,0.8790263948881675,0.1182058015701348,2.2111856560666077,0.9631622660294858,0.10757659099637061,2.0772123241214135,0.9884288234853338,0.11057205844302989,2.0450285666822037,0.9858959562998851,0.1160449492855754,2.3469558751738084,0.985197279935186,0.10983144182298203,2.1605334071126214,0.9793146548074094,0.12313599465159962,2.1744749970788586,0.9824718007889782,0.11617587796260265,2.3674421132511396,0.9866498704949906,0.11305089674082386,2.4810511333145784,0.9456750614245619,0.11677975260974005,2.1756916753561466,0.9744921373137361,0.10335893743109255,2.433165262274861,0.9675649667297211
