feature_mz,scils_interval_half_width_da,search_half_width_da,01_peak_mz,01_peak_intensity,02_peak_mz,02_peak_intensity,03_peak_mz,03_peak_intensity,04_peak_mz,04_peak_intensity,05_peak_mz,05_peak_intensity,mean_peak_mz,mean_peak_intensity
57.0346,0.0011406919999999,0.000570346,57.03463832220387,40.160320653426,57.034538322203865,43.04694314392097,57.03463832220387,43.505376645759526,57.03463832220387,44.1811724488401,57.03463832220387,45.01435030876431,57.03463832220387,43.18133547742333
58.0302,0.001160603999999,0.000580302,58.029838322236905,56.43689130120601,58.029838322236905,58.364069248208246,58.029838322236905,58.44063074188102,58.029838322236905,58.38950173185573,58.029838322236905,58.95096173224577,58.029838322236905,58.11641095107935
59.0139,0.0011802779999996,0.000590139,59.01383832226957,184.5513200727301,59.01383832226957,215.91981510667503,59.01383832226957,223.73308196421408,59.01383832226957,232.3828991962723,59.01383832226957,240.97418811242025,59.01383832226957,219.51226089046236
67.0191,0.0013403819999951,0.0006701909999999999,67.02303832253546,68.96246060960367,67.02303832253546,69.02800291073824,67.02303832253546,68.20943064526237,67.02303832253546,67.60833094947095,67.02303832253546,68.45201345951685,67.02303832253546,68.45204771491842
68.0143,0.0013602859999935,0.000680143,68.01393832256835,99.80643680647528,68.01393832256835,89.06459222969056,68.01393832256835,81.9277738310211,68.01393832256835,78.46184050725242,68.01393832256835,75.53020392040126,68.01393832256835,84.95816945896813
68.9977,0.0013799540000008,0.0006899769999999999,68.99773832260101,182.56043176321631,68.99773832260101,170.32507165962568,68.997638322601,166.17253592633526,68.997638322601,168.6905544615142,68.997638322601,170.8920497325054,68.997638322601,171.69527504656858
69.0346,0.0013806919999979,0.000690346,69.03453832260223,291.08983447827194,69.03453832260223,269.45127007962094,69.03453832260223,257.3910809332804,69.03453832260223,254.82499235794185,69.03453832260223,250.92978470563511,69.03453832260223,264.73739251095003
70.0061,0.0014001220000068,0.0007000610000000001,70.01003832263461,101.08175658941664,70.01003832263461,89.72376019589343,70.01003832263461,85.8408021799738,70.01003832263461,83.76871485239039,70.01003832263461,82.32394754719225,70.01003832263461,88.5477962729733
70.0299,0.0014005980000036,0.0007002989999999999,70.02963832263526,268.2563861609777,70.02963832263526,254.27663709738343,70.02963832263526,243.91569064487496,70.02963832263526,233.92772698797063,70.02963832263526,229.2459988324216,70.02963832263526,245.92448794472566
71.014,0.0014202800000049,0.00071014,71.01363832266793,836.3719702442913,71.01363832266793,883.8277584761436,71.01363832266793,906.3802611593774,71.01363832266793,942.3707560594067,71.01373832266793,982.0559447014148,71.01363832266793,910.1193556708777
71.0503,0.0014210060000011,0.0007105029999999999,71.04633832266902,42.10526668999572,71.04633832266902,43.472948535879,71.04913832266911,44.6134739273521,71.04923832266911,45.97795904025568,71.04953832266912,47.15490404165474,71.04633832266902,44.49514242445322
72.0091,0.0014401819999961,0.000720091,72.00513832270084,80.91893796081614,72.00873832270096,85.56633892152287,72.00873832270096,87.7218744205528,72.00873832270096,90.20621319966531,72.00883832270097,92.7896323287994,72.00873832270096,87.2610319341666
72.017,0.001440340000002,0.00072017,72.0130383227011,67.32319828519724,72.0130383227011,71.01367120559674,72.0130383227011,72.93645428415054,72.0130383227011,74.8874054131197,72.0130383227011,77.04299872134068,72.0130383227011,72.64074558188098
72.9933,0.0014598660000047,0.000729933,72.99723832273378,98.10724643056318,72.99723832273378,94.30074355871818,72.99723832273378,88.6844137965423,72.99723832273378,86.36974165094595,72.99723832273378,84.3626366569481,72.99723832273378,90.36495641874355
73.0294,0.0014605880000005,0.0007302939999999999,73.02943832273485,277.40136235312843,73.02943832273485,333.19531282155793,73.02943832273485,355.830060318119,73.02943832273485,370.145774284372,73.02943832273485,390.6305824841737,73.02943832273485,345.44061845227026
74.0246,0.0014804919999989,0.0007402460000000001,74.02463832276788,164.70462052682217,74.02463832276788,192.32039139209863,74.02463832276788,206.09449406374387,74.02463832276788,215.23008331136916,74.02463832276788,225.3450009382437,74.02463832276788,200.7389180464555
75.0086,0.001500171999993,0.000750086,75.00853832280055,124.60181917915902,75.00853832280055,110.287611420272,75.00853832280055,101.2335760879974,75.00853832280055,97.21992968434134,75.00853832280055,93.348015435674,75.00853832280055,105.33819036148876
77.0394,0.0015407879999998,0.000770394,77.03943832286797,86.86718566521782,77.03943832286797,91.70893911485456,77.03943832286797,88.02749344112425,77.03943832286797,92.73001215571192,77.03943832286797,96.74884077024376,77.03943832286797,91.21649422943045
78.9684,0.0015793679999945,0.0007896839999999999,78.96443832293187,21532.44979091489,78.96443832293187,28685.789946955567,78.96443832293187,31494.922490065244,78.96443832293187,33193.543550241,78.96443832293187,35250.58758170587,78.96443832293187,30031.45867197651
79.0114,0.0015802279999946,0.000790114,79.0074383229333,112.30107327241576,79.0074383229333,110.3344271572068,79.0074383229333,131.22110341194292,79.0074383229333,134.92822531784284,79.0074383229333,150.18793423882263,79.0074383229333,127.7945526796462
79.0189,0.0015803779999999,0.0007901890000000001,79.01853832293367,106.32957409075772,79.01823832293366,101.38917784113838,79.01813832293365,99.76179683821888,79.01813832293365,99.982357427191,79.01773832293364,100.97114212076984,79.01813832293365,101.61608789291667
80.9638,0.0016192759999996,0.000809638,80.96423832299826,486.3886679793733,80.96423832299826,517.991995779711,80.96423832299826,536.4210519930351,80.96423832299826,537.6524258871079,80.96423832299826,549.8538668468345,80.96423832299826,525.6616016972124
81.0217,0.001620434000003,0.000810217,81.0256383230003,57.60234768362729,81.0256383230003,58.40199262996512,81.02253832300019,58.902496482708166,81.02253832300019,58.747168714797,81.02253832300019,58.75305925977421,81.0226383230002,58.13117938452051
82.0298,0.0016405960000014,0.000820298,82.02973832303363,186.5538041645804,82.02973832303363,209.57864785893855,82.02973832303363,217.90019486492105,82.02973832303363,216.72184318589365,82.02973832303363,219.25479195870292,82.02973832303363,210.00185640660735
83.0139,0.0016602780000028,0.0008301390000000001,83.01783832306643,111.91774150342168,83.01783832306643,111.01659614786398,83.01783832306643,109.3684161177588,83.01783832306643,107.09671132345052,83.01783832306643,106.30743580838818,83.01783832306643,109.14138018017664
83.0504,0.0016610079999992,0.0008305039999999999,83.0499383230675,65.83813777670936,83.0499383230675,67.10521963571755,83.0499383230675,63.07152465476958,83.0499383230675,61.97454686672194,83.0499383230675,60.23824767917084,83.0499383230675,63.64553532261785
84.0215,0.0016804299999933,0.0008402150000000001,84.02103832309973,87.49316938134889,84.02103832309973,87.04013248012684,84.02113832309973,85.56142838159481,84.02143832309974,85.68390985208327,84.02143832309974,85.47065140754725,84.02113832309973,86.20619772752787
