mz_key_2dec_trunc,group,mz_values,min_r2,max_r2,n_original_mz
277.21,ctrl1,277.217237,0.9546138023547408,0.9925730166374706,1
277.21,ctrl2,277.217237,0.9281272334564596,0.9946722567275544,1
277.21,ctrl3,277.215851,0.986973161358806,0.9993534671325518,1
277.21,dn1,277.217237,0.9785352448117732,0.9972852479756256,1
277.21,dn2,277.215851,0.9797702436001888,0.9964945354424796,1
277.21,dn3,277.217237,0.9803940317707556,0.9993795745556924,1
480.27,ctrl1,480.271201,0.9481323265554128,0.9939311640592962,1
480.27,ctrl2,480.273602,0.9309903615355326,0.9879158144644932,1
480.27,ctrl3,480.271201,0.972890694539894,0.9959489397578748,1
480.27,dn1,480.271201,0.9128917785729206,0.9993079332074412,1
480.27,dn2,480.271201,0.9726587422897056,0.9984331316849934,1
480.27,dn3,480.273602,0.905315426204309,0.9976663137720008,1
503.26,ctrl1,503.264514,0.948324554030492,0.9960979435499854,1
503.26,ctrl2,503.264514,0.9442465212632308,0.9934193249924358,1
503.26,ctrl3,503.264514,0.9692794015647052,0.9979365539538272,1
503.26,dn1,503.264514,0.956869216916196,0.9989046544331605,1
503.26,dn2,503.264514,0.941148905397658,0.9998736701150168,1
503.26,dn3,503.264514,0.9611496019161644,0.9984970704141046,1
671.46,ctrl1,671.464160,0.958399140148924,0.9874068574018684,1
671.46,ctrl2,671.464160,0.9399388958359016,0.986715990417058,1
671.46,ctrl3,671.464160,0.9706456082798156,0.9962300812827476,1
671.46,dn1,671.464160,0.9540489011349436,0.9973670823972308,1
671.46,dn2,671.464160,0.9788109389195696,0.9996224382795345,1
671.46,dn3,671.464160,0.9792865688763492,0.9974456440187532,1
672.46,ctrl1,672.468749,0.9549122684624278,0.9915545584473208,1
672.46,ctrl2,672.468749,0.9160563182748356,0.9926672227506302,1
672.46,ctrl3,672.468749,0.9697397081697692,0.9954907245202028,1
672.46,dn1,672.468749,0.9700909521951526,0.9955266924451142,1
672.46,dn2,672.468749,0.965255779249806,0.9997506971574428,1
672.46,dn3,672.468749,0.9707593629643584,0.9969430270056744,1
