group,mz,cluster,r2
ctrl3,503.26451362708,19,0.994766667939648
dn1,503.26451362708,0,0.9851034449107812
dn1,503.26451362708,1,0.9895547876403262
dn1,503.26451362708,2,0.9951445623539632
dn1,503.26451362708,3,0.9837397316096512
dn1,503.26451362708,4,0.959014917496287
dn1,503.26451362708,5,0.9920064901455232
dn1,503.26451362708,6,
dn1,503.26451362708,7,0.956869216916196
dn1,503.26451362708,8,0.9930405976955704
dn1,503.26451362708,9,0.9855247553908004
dn1,503.26451362708,10,0.994099807006451
dn1,503.26451362708,11,
dn1,503.26451362708,12,0.9930281215449404
dn1,503.26451362708,13,0.9915979483171228
dn1,503.26451362708,14,0.9923368930820308
dn1,503.26451362708,15,0.9844954938549126
dn1,503.26451362708,16,0.9973948883908534
dn1,503.26451362708,17,0.9989046544331605
dn1,503.26451362708,18,0.9944783273209348
dn1,503.26451362708,19,0.9891972280876382
dn2,503.26451362708,0,0.9978349416221384
dn2,503.26451362708,1,0.9972761274691736
dn2,503.26451362708,2,0.9930379773168676
dn2,503.26451362708,3,0.999365289078266
dn2,503.26451362708,4,0.9976451103067948
dn2,503.26451362708,5,0.983943849622234
dn2,503.26451362708,6,0.9984138661266836
dn2,503.26451362708,7,0.9985516579762737
dn2,503.26451362708,8,0.9965853304923078
dn2,503.26451362708,9,0.9965938523605664
dn2,503.26451362708,10,0.9977451129588918
dn2,503.26451362708,11,0.9759367066089014
dn2,503.26451362708,12,0.9907428231199432
dn2,503.26451362708,13,0.9982097444169388
dn2,503.26451362708,14,0.99501022354298
dn2,503.26451362708,15,0.996374918522216
dn2,503.26451362708,16,0.9957251495332096
dn2,503.26451362708,17,0.9998736701150168
dn2,503.26451362708,18,0.941148905397658
dn2,503.26451362708,19,0.99654654216261
dn3,503.26451362708,0,0.9959581606611289
dn3,503.26451362708,1,0.9982390375272934
dn3,503.26451362708,2,0.9876621693850474
dn3,503.26451362708,3,0.9786520325526966
dn3,503.26451362708,4,0.9904810362561384
dn3,503.26451362708,5,0.9707190828152042
dn3,503.26451362708,6,0.9933119453368356
dn3,503.26451362708,7,0.9941361629054716
dn3,503.26451362708,8,0.9984970704141046
dn3,503.26451362708,9,0.980027942821376
dn3,503.26451362708,10,0.9946492947525956
dn3,503.26451362708,11,0.9732539105362136
dn3,503.26451362708,12,0.9861100544278922
dn3,503.26451362708,13,0.9976369277755254
dn3,503.26451362708,14,0.9967923880447068
dn3,503.26451362708,15,0.9759436149430596
dn3,503.26451362708,16,0.9956945289757142
dn3,503.26451362708,17,0.9943960339293676
dn3,503.26451362708,18,0.9910963964175284
dn3,503.26451362708,19,0.9611496019161644
ctrl1,671.46415998698,0,0.9796074311272016
ctrl1,671.46415998698,1,0.9802976112874778
ctrl1,671.46415998698,2,0.9693935860326066
ctrl1,671.46415998698,3,0.9767731236535288
ctrl1,671.46415998698,4,0.9749219289085091
ctrl1,671.46415998698,5,0.9762149454772416
ctrl1,671.46415998698,6,0.9833630165366728
ctrl1,671.46415998698,7,0.98620191019145
ctrl1,671.46415998698,8,0.9778522111918114
ctrl1,671.46415998698,9,0.969233316798464
ctrl1,671.46415998698,10,0.9789552477107184
ctrl1,671.46415998698,11,0.9723665606249134
ctrl1,671.46415998698,12,0.9772167338958336
ctrl1,671.46415998698,13,0.958399140148924
ctrl1,671.46415998698,14,0.9821092425291652
ctrl1,671.46415998698,15,0.9640786047289616
ctrl1,671.46415998698,16,0.9871954403173264
ctrl1,671.46415998698,17,0.9874068574018684
ctrl1,671.46415998698,18,0.981604436111718
ctrl1,671.46415998698,19,0.9724919153859368
ctrl2,671.46415998698,0,0.968677263084036
ctrl2,671.46415998698,1,0.9863602790128438
ctrl2,671.46415998698,2,0.9771618979672456
ctrl2,671.46415998698,3,0.9571229992109396
ctrl2,671.46415998698,4,0.974100164966112
ctrl2,671.46415998698,5,0.9399388958359016
ctrl2,671.46415998698,6,0.9823160940987938
ctrl2,671.46415998698,7,0.9843357762554436
ctrl2,671.46415998698,8,0.9494655173306272
ctrl2,671.46415998698,9,0.9637368469649942
ctrl2,671.46415998698,10,0.9604237402122234
ctrl2,671.46415998698,11,0.9630339724432656
ctrl2,671.46415998698,12,0.986715990417058
ctrl2,671.46415998698,13,0.9724925147119988
ctrl2,671.46415998698,14,0.9672748309979164
ctrl2,671.46415998698,15,0.9685068521968544
ctrl2,671.46415998698,16,0.9465637651094242
ctrl2,671.46415998698,17,0.9859626891977918
ctrl2,671.46415998698,18,0.966860675617695
ctrl2,671.46415998698,19,0.9649086581003032
ctrl3,671.46415998698,0,0.9954810451066758
ctrl3,671.46415998698,1,0.9918924270182794
ctrl3,671.46415998698,2,0.9807113597418632
ctrl3,671.46415998698,3,0.9858219620758908
ctrl3,671.46415998698,4,0.9805265222040486
ctrl3,671.46415998698,5,0.9708691924819738
ctrl3,671.46415998698,6,0.9804402520986965
ctrl3,671.46415998698,7,0.9938162563589028
ctrl3,671.46415998698,8,0.9791864369682896
ctrl3,671.46415998698,9,0.9962300812827476
ctrl3,671.46415998698,10,0.9762264805744648
ctrl3,671.46415998698,11,0.9706456082798156
ctrl3,671.46415998698,12,0.97369906861046
ctrl3,671.46415998698,13,0.9893055045903282
ctrl3,671.46415998698,14,0.9916534654443262
ctrl3,671.46415998698,15,0.9859600620853548
ctrl3,671.46415998698,16,0.9929744925933544
ctrl3,671.46415998698,17,0.9858225107986188
ctrl3,671.46415998698,18,0.9907395873995134
ctrl3,671.46415998698,19,0.98507905415432
dn1,671.46415998698,0,0.9785691454862566
dn1,671.46415998698,1,0.9880275416425732
dn1,671.46415998698,2,0.9887357209924575
dn1,671.46415998698,3,0.9901809137607492
dn1,671.46415998698,4,0.9745611099907476
