group,mz_key_2dec_trunc,mz,min_r2,max_r2
ctrl1,277.21,277.2172366366,0.9546138023547408,0.9925730166374706
ctrl2,277.21,277.2172366366,0.9281272334564596,0.9946722567275544
ctrl3,277.21,277.21585055514,0.986973161358806,0.9993534671325518
dn1,277.21,277.2172366366,0.9785352448117732,0.9972852479756256
dn2,277.21,277.21585055514,0.9797702436001888,0.9964945354424796
dn3,277.21,277.2172366366,0.9803940317707556,0.9993795745556924
ctrl1,480.27,480.27120101397,0.9481323265554128,0.9939311640592962
ctrl2,480.27,480.2736023738,0.9309903615355326,0.9879158144644932
ctrl3,480.27,480.27120101397,0.972890694539894,0.9959489397578748
dn1,480.27,480.27120101397,0.9128917785729206,0.9993079332074412
dn2,480.27,480.27120101397,0.9726587422897056,0.9984331316849934
dn3,480.27,480.2736023738,0.905315426204309,0.9976663137720008
ctrl1,503.26,503.26451362708,0.948324554030492,0.9960979435499854
ctrl2,503.26,503.26451362708,0.9442465212632308,0.9934193249924358
ctrl3,503.26,503.26451362708,0.9692794015647052,0.9979365539538272
dn1,503.26,503.26451362708,0.956869216916196,0.9989046544331605
dn2,503.26,503.26451362708,0.941148905397658,0.9998736701150168
dn3,503.26,503.26451362708,0.9611496019161644,0.9984970704141046
ctrl1,671.46,671.46415998698,0.958399140148924,0.9874068574018684
ctrl2,671.46,671.46415998698,0.9399388958359016,0.986715990417058
ctrl3,671.46,671.46415998698,0.9706456082798156,0.9962300812827476
dn1,671.46,671.46415998698,0.9540489011349436,0.9973670823972308
dn2,671.46,671.46415998698,0.9788109389195696,0.9996224382795345
dn3,671.46,671.46415998698,0.9792865688763492,0.9974456440187532
ctrl1,672.46,672.46874873485,0.9549122684624278,0.9915545584473208
ctrl2,672.46,672.46874873485,0.9160563182748356,0.9926672227506302
ctrl3,672.46,672.46874873485,0.9697397081697692,0.9954907245202028
dn1,672.46,672.46874873485,0.9700909521951526,0.9955266924451142
dn2,672.46,672.46874873485,0.965255779249806,0.9997506971574428
dn3,672.46,672.46874873485,0.9707593629643584,0.9969430270056744
