mz_key_2dec_trunc,global_min_r2,global_max_r2,n_original_group_mz_records,ctrl1,ctrl2,ctrl3,dn1,dn2,dn3
277.21,0.9281272334564596,0.9993795745556924,6,277.217237,277.217237,277.215851,277.217237,277.215851,277.217237
480.27,0.905315426204309,0.9993079332074412,6,480.271201,480.273602,480.271201,480.271201,480.271201,480.273602
503.26,0.941148905397658,0.9998736701150168,6,503.264514,503.264514,503.264514,503.264514,503.264514,503.264514
671.46,0.9399388958359016,0.9996224382795345,6,671.464160,671.464160,671.464160,671.464160,671.464160,671.464160
672.46,0.9160563182748356,0.9997506971574428,6,672.468749,672.468749,672.468749,672.468749,672.468749,672.468749
