group,mz_key_2dec_trunc,mz,min_r2,max_r2
ctrl1,73.02,73.029440958246,0.9202721563785424,0.99826958044224
ctrl1,158.92,158.92493009626,0.933846854456528,0.972435264983512
ctrl1,165.01,165.01921451412,0.9033556949978928,0.9946010794677728
ctrl1,176.05,176.05947424159,0.9300788374369736,0.997014029406716
ctrl1,176.93,176.93578236842,0.9345427754994924,0.9961319290587868
ctrl1,177.05,177.05702478979,0.9307869186584736,0.9952928842985492
ctrl1,178.85,178.85525464349,0.9145600459866008,0.99244597355311
ctrl1,196.88,196.88046305687,0.9022681175553492,0.988911792750647
ctrl1,198.91,198.91682025811,0.918851950672368,0.9796540751954708
ctrl1,221.15,221.1545221053,0.90083937153552,0.9625963394011788
ctrl1,223.02,223.02673330558,0.9270461592981916,0.9913708783767532
ctrl1,231.02,231.02746798817,0.947363290677802,0.9961027374427182
ctrl1,248.07,248.07014470253,0.909692016948046,0.9995752813094736
ctrl1,249.18,249.18523701198,0.9015956868578257,0.9952954158285284
ctrl1,251.2,251.20052794973,0.9295185234357232,0.9907460531529318
ctrl1,253.21,253.21692413866,0.9183979873629736,0.9550224205172572
ctrl1,263.2,263.20060388181,0.932728295623757,0.9969562666116308
ctrl1,267.23,267.23180893663,0.9291818092170664,0.9757779823030333
ctrl1,277.21,277.2172366366,0.9546138023547408,0.9925730166374706
ctrl1,278.22,278.22118958497,0.9648284708668292,0.9935152419606658
ctrl1,278.87,278.87159452296,0.9140279207504314,0.9943604038133412
ctrl1,289.03,289.03460129754,0.9738393643795732,0.9995950806505648
ctrl1,324.28,324.28939250243,0.9002757808438294,0.9993397032636884
ctrl1,393.24,393.24039950066,0.9557783052407364,0.9897289556770444
ctrl1,394.24,394.24444121472,0.9351786889198191,0.9909770674682308
ctrl1,416.22,416.22920276165,0.9161524145961312,0.981938730863397
ctrl1,433.23,433.23531812981,0.9072956039465224,0.9935663330835924
ctrl1,443.25,443.25313578602,0.9393341939121193,0.9856220132882684
ctrl1,459.27,459.27354316006,0.9552385342513352,0.9910878278848684
ctrl1,461.28,461.28726488296,0.9464249472418148,0.989403010132494
ctrl1,480.27,480.27120101397,0.9481323265554128,0.9939311640592962
ctrl1,503.26,503.26451362708,0.948324554030492,0.9960979435499854
ctrl1,504.26,504.26952758518,0.9635380996175636,0.9950212239795376
ctrl1,578.28,578.28439320962,0.9280054632433596,0.9913565607120464
ctrl1,669.44,669.44274619687,0.9095498196443048,0.9898701276324328
ctrl1,671.46,671.46415998698,0.958399140148924,0.9874068574018684
ctrl1,672.46,672.46874873485,0.9549122684624278,0.9915545584473208
ctrl1,714.5,714.50899386431,0.9434171042815824,0.9819525094822484
ctrl1,715.51,715.51000608975,0.9187397373140136,0.9862572546871904
ctrl1,744.49,744.49083927447,0.9288410592763242,0.9999788127307756
ctrl1,761.51,761.51169262237,0.9000721383282354,0.9929416813681146
ctrl1,833.51,833.51812258925,0.9465512962311065,0.9851981641220144
ctrl2,88.04,88.040548830115,0.907524344596618,0.9944510367713106
ctrl2,132.03,132.03038978111,0.90165244011081,0.9927817408197946
ctrl2,177.05,177.05702478979,0.9300763107765744,0.9897857458909648
ctrl2,249.07,249.07811049141,0.9051543346259584,0.9807850327063168
ctrl2,277.21,277.2172366366,0.9281272334564596,0.9946722567275544
ctrl2,278.22,278.22118958497,0.9321016729497468,0.9964750667981044
ctrl2,278.87,278.87159452296,0.909484578739734,0.9847399523349294
ctrl2,393.24,393.24039950066,0.9311208531162962,0.994001080933745
ctrl2,421.07,421.07504256736,0.923040960251848,0.9925765075412885
ctrl2,480.27,480.2736023738,0.9309903615355326,0.9879158144644932
ctrl2,503.26,503.26451362708,0.9442465212632308,0.9934193249924358
ctrl2,671.46,671.46415998698,0.9399388958359016,0.986715990417058
ctrl2,672.46,672.46874873485,0.9160563182748356,0.9926672227506302
ctrl2,714.5,714.50899386431,0.9182441366092678,0.9770942126080034
ctrl2,744.49,744.49456173459,0.9094484413208626,0.9965462147918016
