group,mz,cluster,r2
ctrl1,73.029440958246,0,0.9534111487067018
ctrl1,73.029440958246,1,0.9730521927934572
ctrl1,73.029440958246,2,0.9205949996722148
ctrl1,73.029440958246,3,0.959735254545428
ctrl1,73.029440958246,4,0.9322564895577916
ctrl1,73.029440958246,5,0.9873178163121792
ctrl1,73.029440958246,6,0.981346840877809
ctrl1,73.029440958246,7,0.9480853121077778
ctrl1,73.029440958246,8,0.9765299878057906
ctrl1,73.029440958246,9,0.9627779923672448
ctrl1,73.029440958246,10,0.99826958044224
ctrl1,73.029440958246,11,0.956084442670471
ctrl1,73.029440958246,12,0.9833526582674076
ctrl1,73.029440958246,13,0.953089185950138
ctrl1,73.029440958246,14,0.9799478872546944
ctrl1,73.029440958246,15,0.9202721563785424
ctrl1,73.029440958246,16,0.9733524590971872
ctrl1,73.029440958246,17,0.952927826967154
ctrl1,73.029440958246,18,0.9388822081093914
ctrl1,73.029440958246,19,0.9943732117074608
ctrl1,158.92493009626,0,0.9374053860184636
ctrl1,158.92493009626,1,0.9516456381953812
ctrl1,158.92493009626,2,0.9527051580501524
ctrl1,158.92493009626,3,0.933846854456528
ctrl1,158.92493009626,4,0.9388770759191196
ctrl1,158.92493009626,5,0.9560070862997572
ctrl1,158.92493009626,6,0.9463131872744296
ctrl1,158.92493009626,7,0.966008870821661
ctrl1,158.92493009626,8,0.9575968772559704
ctrl1,158.92493009626,9,0.972435264983512
ctrl1,158.92493009626,10,0.9345154094235508
ctrl1,158.92493009626,11,0.954696496098153
ctrl1,158.92493009626,12,0.959973339475096
ctrl1,158.92493009626,13,0.9545045537224028
ctrl1,158.92493009626,14,0.945914022390852
ctrl1,158.92493009626,15,0.9502173806360504
ctrl1,158.92493009626,16,0.9480667631786124
ctrl1,158.92493009626,17,0.9516757463762864
ctrl1,158.92493009626,18,0.9490725869301696
ctrl1,158.92493009626,19,0.9597629095920164
ctrl1,165.01921451412,0,0.9927541233608984
ctrl1,165.01921451412,1,0.9946010794677728
ctrl1,165.01921451412,2,0.937326849369435
ctrl1,165.01921451412,3,0.9455076145662006
ctrl1,165.01921451412,4,0.9757777857464472
ctrl1,165.01921451412,5,0.9736089910002188
ctrl1,165.01921451412,6,0.9718918727339192
ctrl1,165.01921451412,7,0.9634245813472254
ctrl1,165.01921451412,8,0.9809656349623356
ctrl1,165.01921451412,9,0.9429655298296976
ctrl1,165.01921451412,10,0.9033556949978928
ctrl1,165.01921451412,11,0.985086903252205
ctrl1,165.01921451412,12,0.9332540619535088
ctrl1,165.01921451412,13,0.9645357910437492
ctrl1,165.01921451412,14,0.9895539525123728
ctrl1,165.01921451412,15,0.9870112658298804
ctrl1,165.01921451412,16,0.977051550698171
ctrl1,165.01921451412,17,0.9891400131619354
ctrl1,165.01921451412,18,0.9729851568229082
ctrl1,165.01921451412,19,0.9747704788633128
ctrl1,176.05947424159,0,0.9581390596563696
ctrl1,176.05947424159,1,0.9865294185817172
ctrl1,176.05947424159,2,0.9300788374369736
ctrl1,176.05947424159,3,0.9887945838585096
ctrl1,176.05947424159,4,0.9715019240531998
ctrl1,176.05947424159,5,0.9776522514473692
ctrl1,176.05947424159,6,0.9811288103341012
